ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;108;ENROCAMENTO EMERGENCIAL - CAUCAIA;558975.00;558975.00;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;196;CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA;532968.92;532968.92;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;92;IFCE MANUTENÇÃO PREDIAL - CRATEUS;521467.07;521467.07;0.00;12
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;160;QUADRA POLIESPORTIVA HENRIQUE DOMINGOS BRAGA SANDERS - PARACURU;519272.96;519272.96;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;159;REFORMA CALÇADÃO DA ORLA - PARACURU;479738.77;479738.77;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;110;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - TABULEIRO DO NORTE;474090.78;474090.78;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;254;1 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;446997.25;446997.25;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;287;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE;439208.68;439208.68;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;257;1 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;429549.73;429549.73;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;122;CONSTRUÇÃO DE QUADRAS - TABULEIRO DO NORTE;418474.20;418474.20;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;35;ITAITINGA - PAV. PEDRA TOSCA EM RUAS GERERAÚ;407447.11;407447.11;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;255;1 - SOP - CONSTRUÇÃO DE CEI - CANINDE;395921.67;395921.67;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;175;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO PEDRA PETRA- ASSARE;388905.74;388905.74;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;40;PREFEITURA MUNICIPAL DE CAUCAIA - REF 02 QUADRAS (Mª DE LOURDES E PEDRO LAURINDO;388716.36;388716.36;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;129;MANUTENÇÃO NO MUNICÍPIO DE PARACURU - CE;388404.96;388404.96;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;165;URBANIZAÇÃO ENTRADA DA CIDADE - GRANJEIRO;380252.49;380252.49;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;24;IFCE MANUTENÇÃO PREDIAL - LIMOEIRO DO NORTE;378455.09;378455.09;0.00;7
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;241;IFCE - CAMPUS CRATO - SUBESTAÇÃO - GRUPO 04;360150.33;360150.33;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;119;CONTRUÇÃO DE 04 PRAÇAS - MORRINHOS;357204.46;357204.46;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;43;IFCE MANUTENÇÃO PREDIAL - CAUCAIA;338773.69;338773.69;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;261;1 - URBANIZAÇÃO CAMPUS UNILAB;329515.42;329515.42;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;23;IFCE MANUTENÇÃO PREDIAL - MORADA NOVA;328379.28;328379.28;0.00;11
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;97;IFCE MANUTENÇÃO PREDIAL - SOBRAL;322268.69;322268.69;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;38;IFCE MANUTENÇÃO PREDIAL - CANINDÉ;315921.50;315921.50;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;177;CONSTRUÇÃO DE ESPAÇO EDUCATIVO RURAL COM 06 SALAS DE AULA - SENADOR POMPEU;309307.02;309307.02;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;95;IFCE MANUTENÇÃO PREDIAL - IGUATU;300193.68;300193.68;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;138;REGULARIZAÇÃO;287880.61;287880.61;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;259;1 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;273057.14;273057.14;0.00;3
