ID;NOME;EMPRESA;STATUS
144;URBANIZAÇÃO DO AÇUDE DO JUNCO - CONSTRUÇÃO DE FONTE GRANJEIRO;1;Ativa
145;CONSTRUÇÃO DA QUADRA SÃO PEDRO - PARACURU;1;Ativa
146;CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL;1;Ativa
147;QUADRA POLIESPORTIVA COM COBERTURA E VESTIÁRIOS MODELO 02 - CAMPOS SALES;1;Ativa
148;CONSTRUÇÃO DE ESCOLA 12 SALAS - SENADOR POMPEU;1;Ativa
149;REFORMA UBS JARDIM - PARACURU;1;Ativa
150;CENTRO DE EDUCAÇÃO INFANTIL FRANCISCA DOS SANTOS BARROSO - PARACURU;1;Ativa
151;REFORMA E AMPLIAÇÃO DA ESCOLA EDMUNDO PEREIRA BARBOSA EMEIF - PARAIPABA;1;Ativa
152;TJCE - REFORMA TOTAL DO FÓRUM DA COMARCA DE AURORA - TRIBUNAL DE JUSTIÇA;1;Ativa
153;SERV AMPL E REF ESCOLAS EEIEF JOSÉ ANT SOUSA E EEF RAQUEL COSTA SENADOR POMPEU;1;Ativa
154;ESCOLA MUNICIPAL ALDENOR PEREIRA DOS SANTOS EMEIF - PARAIPABA;1;Ativa
155;COMPLEXO ESCOLAR SETOR C1 EMEIF - PARAIPABA;1;Ativa
156;REFORMA DE EDIFICAÇÃO PARA IMPLANTAÇÃO DA SEDE DO RAIO - DE PENTECOSTE;1;Ativa
157;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 12 SALAS - CAMPOS SALES;1;Ativa
158;REFORMA DA CRECHE SONHOS DE CRIANÇA - POÇO DOCE - PARACURU;1;Ativa
159;REFORMA CALÇADÃO DA ORLA - PARACURU;1;Ativa
160;QUADRA POLIESPORTIVA HENRIQUE DOMINGOS BRAGA SANDERS - PARACURU;1;Ativa
161;REFORMA DO TERMINAL RODOVIÁRIO - PARACURU;1;Ativa
162;4 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;1;Ativa
163;MANUTENÇÃO PREDIAL SECRETARIA DE SAÚDE - CAUCAIA.;1;Ativa
164;Espólios de demolição / Reciclagem;;Ativa
165;URBANIZAÇÃO ENTRADA DA CIDADE - GRANJEIRO;1;Ativa
166;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE - UBS INDIGENA - CRATEUS;1;Ativa
167;IFCE - SERVIÇOS DE INSTALAÇÃO DE ALAMBRADOS E TABELA DE BASQUETE;1;Ativa
168;4 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;1;Ativa
169;REFORMA E ADEQUAÇÃO DO SHOWROOM DA  LOJA CLUB COSMÉTICOS;1;Ativa
170;CONSTRUÇÃO DE UM ESPAÇO EDUCATIVO 12 SALAS DE AULA - JUCAS;1;Ativa
171;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO SÃO LORENZO - ASSARE;1;Ativa
172;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MARTINS - ASSARÉ;1;Ativa
173;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 01 - ASSARÉ;1;Ativa
174;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (RIACHO DO DIOGO) - ASSARE;1;Ativa
175;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO PEDRA PETRA- ASSARE;1;Ativa
176;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 02- ASSARE;1;Ativa
177;CONSTRUÇÃO DE ESPAÇO EDUCATIVO RURAL COM 06 SALAS DE AULA - SENADOR POMPEU;1;Ativa
178;SBS3J50 - CAMINHÃO PEQUENO;1;Ativa
179;SBM1B40 - CAMINHÃO GRANDE;1;Ativa
180;FIAT MOB (05) - SBA7A60;1;Ativa
181;FIAT MOB (06) - SBB0E60;1;Ativa
182;INSTALAÇÃO DE SISTEMA FOTOVOLTAICO - CÂMARA MUNICIPAL DE BATALHA;1;Ativa
183;4 - SOP - CONSTRUÇÃO DE CEI - CANINDE;1;Ativa
184;REF E AMP DA EDIFICAÇÃO DA ESCOLA SUPERIOR DA MAGISTRAT DO EST DO CEARA - ESMEC;1;Ativa
185;4 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;1;Ativa
186;5 - CONSTRUÇÃO DE GALPÃO INDUSTRIAL - TABULEIRO DO NORTE/CE;1;Ativa
187;4 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;1;Ativa
188;OBRAS PARCERIAS TABULEIRO CRECHE;1;Ativa
189;OBRAS PARCERIAS TABULEIRO - ENTRADA DA CIDADE;1;Ativa
190;OBRAS PARCERIAS TABULEIRO - QUADRAS;1;Ativa
191;OBRAS PARCERIAS 2;1;Ativa
192;CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB - FINALIZADA;1;Ativa
193;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (AÇUDE DE WALTIM) - ASSARE;1;Ativa
194;4 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;1;Ativa
195;CONSTRUÇAO DE UMA ESCOLA NO DISTRITO DE MONTE ALVERNE - CRATO;1;Ativa
196;CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA;1;Ativa
197;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO CURUPIRA - OCARA CE;1;Ativa
198;CONSTRUÇÃO DE GALPÃO INDUSTRIAL - SENADOR POMPEU;1;Ativa
199;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO MARCOS - OCARA CE;1;Ativa
200;4 - URBANIZAÇÃO CAMPUS UNILAB;1;Ativa
201;4 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;1;Ativa
202;KHARCARAD CONSULTORIA E SOFTWARES LTDA;1;Ativa
203;REF E AMPLI ESCOLAS FRANCISCO CIPRIANO MOREIRA E LUIZA BARROSO BRAGA - PARAIPABA;1;Ativa
204;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE SERENO - OCARA CE;1;Ativa
205;CONSTRUÇÃO DE BLOCO DE 04 (QUATRO) SALAS DE AULA NA REITORIA - STEEL FRAME;1;Ativa
206;RECUPERAÇÃO DO MATADOURO PÚBLICO MUNICIPAL DE ASSARÉ;1;Ativa
207;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO PEDRO - OCARA CE;1;Ativa
208;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE INDIGENA TIPO III NA ALDEIA VILA VITORIA;1;Ativa
209;IFCE - CAMOCIM - SUBESTAÇÃO - GRUPO 02;1;Ativa
210;IFCE - CAMPUS ACARAÚ - SUBESTAÇÃO - GRUPO 02;1;Ativa
211;IFCE - CAMPUS BOA VIAGEM - SUBESTAÇÃO - GRUPO 02;1;Ativa
212;IFCE - CAMPUS CANINDE - SUBESTAÇÃO - GRUPO 02;1;Ativa
213;IFCE - CAMPUS CRATEÚS - SUBESTAÇÃO - GRUPO 02;1;Ativa
214;IFCE - CAMPUS ITAPIPOCA - SUBESTAÇÃO - GRUPO 02;1;Ativa
215;IFCE - CAMPUS SOBRAL - SUBESTAÇÃO - GRUPO 02;1;Ativa
216;IFCE - CAMPUS TAUÁ - SUBESTAÇÃO - GRUPO 02;1;Ativa
217;IFCE - CAMPUS TIANGUÁ - SUBESTAÇÃO - GRUPO 02;1;Ativa
218;IFCE - CAMPUS UBAJARA - SUBESTAÇÃO - GRUPO 02;1;Ativa
219;IFCE - CAMPUS ARACATI - SUBESTAÇÃO - GRUPO 03;1;Ativa
220;IFCE - CAMPUS JAGUARIBE - SUBESTAÇÃO - GRUPO 03;1;Ativa
221;IFCE - CAMPUS JAGUARUANA - SUBESTAÇÃO - GRUPO 03;1;Ativa
222;IFCE - CAMPUS LIMOEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;1;Ativa
223;IFCE - CAMPUS MORADA NOVA - SUBESTAÇÃO - GRUPO 03;1;Ativa
224;IFCE - CAMPUS QUIXADA - SUBESTAÇÃO - GRUPO 03;1;Ativa
225;IFCE - CAMPUS TABULEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;1;Ativa
226;IFCE - CAMPUS BATURITE - SUBESTAÇÃO - GRUPO 01;1;Ativa
227;IFCE - CAMPUS CAUCAIA - SUBESTAÇÃO - GRUPO 01;1;Ativa
228;IFCE - CAMPUS FORTALEZA - SUBESTAÇÃO - GRUPO 01;1;Ativa
229;IFCE - CAMPUS GUARAMIRANGA - SUBESTAÇÃO - GRUPO 01;1;Ativa
230;IFCE - CAMPUS HORIZONTE - SUBESTAÇÃO - GRUPO 01;1;Ativa
231;IFCE - CAMPUS MARACANAU - SUBESTAÇÃO - GRUPO 01;1;Ativa
232;IFCE - CAMPUS MARANGUAPE - SUBESTAÇÃO - GRUPO 01;1;Ativa
233;IFCE - CAMPUS PARACURU - SUBESTAÇÃO - GRUPO 01;1;Ativa
234;IFCE - CAMPUS PECEM - SUBESTAÇÃO - GRUPO 01;1;Ativa
235;IFCE - CAMPUS POLO DE INOVAÇÃO - SUBESTAÇÃO - GRUPO 01;1;Ativa
236;IFCE - CAMPUS UMIRIM - SUBESTAÇÃO - GRUPO 01;1;Ativa
237;IFCE - CAMPUS REITORIA - SUBESTAÇÃO;1;Ativa
238;IFCE - CAMPUS IGUATU - SUBESTAÇÃO - GRUPO 04;1;Ativa
239;IFCE - CAMPUS ACOPIARA - SUBESTAÇÃO - GRUPO 04;1;Ativa
240;IFCE - CAMPUS CEDRO - SUBESTAÇÃO GRUPO 04;1;Ativa
241;IFCE - CAMPUS CRATO - SUBESTAÇÃO - GRUPO 04;1;Ativa
242;IFCE - CAMPUS JUAZEIRO DO NORTE - SUBESTAÇÃO - GRUPO 04;1;Ativa
243;IFCE - CAMPUS MOMBAÇA - SUBESTAÇÃO - GRUPO 04;1;Ativa
244;EXPANSÃO IV DO IFCE - CAMPUS SALES - CIDADE CAMPOS SALES;1;Ativa
245;CONSTRUÇÃO DE MURO DE CONTENÇÃO NA LATERAL ESQUERDA DO CAMPO 03 - ACOPIARA;1;Ativa
246;EXECUÇÃO DE PRÉDIO EDUCACIONAL/RESIDENCIAL - ACOPIARA;1;Ativa
247;RESIDENCIAS UNIFAMILIARES JARDINS BOULEVARD - NOVUM;1;Ativa
248;CONDOMINIO RESIDENCIAL EM AQUIRAZ DE 152 UNIDADES CASAS - GENESIS;1;Ativa
249;EXPANSÃO IV DO IFCE - CAMPUS CASCAVEL - CIDADE CASCAVEL;1;Ativa
250;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - QUIXADA - IFCE;1;Ativa
251;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - LIMOEIRO DO NORTE - IFCE;1;Ativa
252;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - UMIRIM;1;Ativa
253;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - BOA VIAGEM - IFCE;1;Ativa
254;1 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;1;Ativa
255;1 - SOP - CONSTRUÇÃO DE CEI - CANINDE;1;Ativa
256;1 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;1;Ativa
257;1 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;1;Ativa
258;1 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;1;Ativa
259;1 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;1;Ativa
