EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMOCIM - SUBESTAÇÃO - GRUPO 02;209;R$ 36.840,07;R$ 5.211,88;R$ 31.628,19;85,85%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS ARACATI - SUBESTAÇÃO - GRUPO 03;219;R$ 34.858,64;R$ 1.081,88;R$ 33.776,76;96,90%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA E ADEQUAÇÃO DO SHOWROOM DA  LOJA CLUB COSMÉTICOS;169;R$ 31.812,22;R$ 29.170,94;R$ 2.641,28;8,30%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE;287;R$ 31.383,94;R$ 142.851,19;R$ -111.467,25;-355,17%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATEUS;62;R$ 27.955,83;R$ 233,94;R$ 27.721,89;99,16%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS LIMOEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;222;R$ 25.855,47;R$ 14.971,14;R$ 10.884,33;42,10%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS FORTALEZA - SUBESTAÇÃO - GRUPO 01;228;R$ 25.501,95;R$ 25.375,43;R$ 126,52;0,50%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS CRATEÚS - SUBESTAÇÃO - GRUPO 02;213;R$ 23.168,13;R$ 761,88;R$ 22.406,25;96,71%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS POLO DE INOVAÇÃO - SUBESTAÇÃO - GRUPO 01;235;R$ 21.236,49;R$ 3.966,85;R$ 17.269,64;81,32%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 02- ASSARE;176;R$ 20.842,26;R$ 5.278,66;R$ 15.563,60;74,67%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS PARACURU - SUBESTAÇÃO - GRUPO 01;233;R$ 19.821,88;R$ 93.564,19;R$ -73.742,31;-372,02%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS BATURITE - SUBESTAÇÃO - GRUPO 01;226;R$ 18.959,16;R$ 36.992,64;R$ -18.033,48;-95,12%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS MARACANAU - SUBESTAÇÃO - GRUPO 01;231;R$ 18.027,94;R$ 1.124,56;R$ 16.903,38;93,76%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS HORIZONTE - SUBESTAÇÃO - GRUPO 01;230;R$ 17.840,64;R$ 1.124,56;R$ 16.716,08;93,70%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS MORADA NOVA - SUBESTAÇÃO - GRUPO 03;223;R$ 17.434,44;R$ 17.126,92;R$ 307,52;1,76%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS UBAJARA - SUBESTAÇÃO - GRUPO 02;218;R$ 17.386,94;R$ 761,88;R$ 16.625,06;95,62%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS MARANGUAPE - SUBESTAÇÃO - GRUPO 01;232;R$ 17.378,92;R$ 7.524,56;R$ 9.854,36;56,70%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS TAUÁ - SUBESTAÇÃO - GRUPO 02;216;R$ 17.200,54;R$ 761,88;R$ 16.438,66;95,57%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CAMOCIM;52;R$ 16.220,02;R$ 498,07;R$ 15.721,95;96,93%
